Round,Date,Day,Time,GameTimePK,Statement
10,29/06/2019,Sat,17:00,r10_sat_20190629_1700,"r10_sat_20190629_1700 = GameTime(round= 10, when=datetime(year=2019, month=6, day=29, hour=17, minute=0))"
10,29/06/2019,Sat,19:00,r10_sat_20190629_1900,"r10_sat_20190629_1900 = GameTime(round= 10, when=datetime(year=2019, month=6, day=29, hour=19, minute=0))"
10,30/06/2019,Sun,08:30,r10_sun_20190630_0830,"r10_sun_20190630_0830 = GameTime(round= 10, when=datetime(year=2019, month=6, day=30, hour=8, minute=30))"
10,30/06/2019,Sun,10:00,r10_sun_20190630_1000,"r10_sun_20190630_1000 = GameTime(round= 10, when=datetime(year=2019, month=6, day=30, hour=10, minute=0))"
10,30/06/2019,Sun,11:30,r10_sun_20190630_1130,"r10_sun_20190630_1130 = GameTime(round= 10, when=datetime(year=2019, month=6, day=30, hour=11, minute=30))"
10,30/06/2019,Sun,13:00,r10_sun_20190630_1300,"r10_sun_20190630_1300 = GameTime(round= 10, when=datetime(year=2019, month=6, day=30, hour=13, minute=0))"
10,30/06/2019,Sun,15:00,r10_sun_20190630_1500,"r10_sun_20190630_1500 = GameTime(round= 10, when=datetime(year=2019, month=6, day=30, hour=15, minute=0))"
11,05/07/2019,Fri,18:00,r11_fri_20190705_1800,"r11_fri_20190705_1800 = GameTime(round= 11, when=datetime(year=2019, month=7, day=5, hour=18, minute=0))"
11,05/07/2019,Fri,19:30,r11_fri_20190705_1930,"r11_fri_20190705_1930 = GameTime(round= 11, when=datetime(year=2019, month=7, day=5, hour=19, minute=30))"
11,06/07/2019,Sat,08:30,r11_sat_20190706_0830,"r11_sat_20190706_0830 = GameTime(round= 11, when=datetime(year=2019, month=7, day=6, hour=8, minute=30))"
11,06/07/2019,Sat,10:00,r11_sat_20190706_1000,"r11_sat_20190706_1000 = GameTime(round= 11, when=datetime(year=2019, month=7, day=6, hour=10, minute=0))"
11,06/07/2019,Sat,11:30,r11_sat_20190706_1130,"r11_sat_20190706_1130 = GameTime(round= 11, when=datetime(year=2019, month=7, day=6, hour=11, minute=30))"
11,06/07/2019,Sat,13:00,r11_sat_20190706_1300,"r11_sat_20190706_1300 = GameTime(round= 11, when=datetime(year=2019, month=7, day=6, hour=13, minute=0))"
11,06/07/2019,Sat,15:00,r11_sat_20190706_1500,"r11_sat_20190706_1500 = GameTime(round= 11, when=datetime(year=2019, month=7, day=6, hour=15, minute=0))"
11,06/07/2019,Sat,17:00,r11_sat_20190706_1700,"r11_sat_20190706_1700 = GameTime(round= 11, when=datetime(year=2019, month=7, day=6, hour=17, minute=0))"
11,06/07/2019,Sat,19:00,r11_sat_20190706_1900,"r11_sat_20190706_1900 = GameTime(round= 11, when=datetime(year=2019, month=7, day=6, hour=19, minute=0))"
11,07/07/2019,Sun,08:30,r11_sun_20190707_0830,"r11_sun_20190707_0830 = GameTime(round= 11, when=datetime(year=2019, month=7, day=7, hour=8, minute=30))"
11,07/07/2019,Sun,10:00,r11_sun_20190707_1000,"r11_sun_20190707_1000 = GameTime(round= 11, when=datetime(year=2019, month=7, day=7, hour=10, minute=0))"
11,07/07/2019,Sun,11:30,r11_sun_20190707_1130,"r11_sun_20190707_1130 = GameTime(round= 11, when=datetime(year=2019, month=7, day=7, hour=11, minute=30))"
11,07/07/2019,Sun,13:00,r11_sun_20190707_1300,"r11_sun_20190707_1300 = GameTime(round= 11, when=datetime(year=2019, month=7, day=7, hour=13, minute=0))"
11,07/07/2019,Sun,15:00,r11_sun_20190707_1500,"r11_sun_20190707_1500 = GameTime(round= 11, when=datetime(year=2019, month=7, day=7, hour=15, minute=0))"
12,12/07/2019,Fri,18:00,r12_fri_20190712_1800,"r12_fri_20190712_1800 = GameTime(round= 12, when=datetime(year=2019, month=7, day=12, hour=18, minute=0))"
12,12/07/2019,Fri,19:30,r12_fri_20190712_1930,"r12_fri_20190712_1930 = GameTime(round= 12, when=datetime(year=2019, month=7, day=12, hour=19, minute=30))"
12,13/07/2019,Sat,08:30,r12_sat_20190713_0830,"r12_sat_20190713_0830 = GameTime(round= 12, when=datetime(year=2019, month=7, day=13, hour=8, minute=30))"
12,13/07/2019,Sat,10:00,r12_sat_20190713_1000,"r12_sat_20190713_1000 = GameTime(round= 12, when=datetime(year=2019, month=7, day=13, hour=10, minute=0))"
12,13/07/2019,Sat,11:30,r12_sat_20190713_1130,"r12_sat_20190713_1130 = GameTime(round= 12, when=datetime(year=2019, month=7, day=13, hour=11, minute=30))"
12,13/07/2019,Sat,13:00,r12_sat_20190713_1300,"r12_sat_20190713_1300 = GameTime(round= 12, when=datetime(year=2019, month=7, day=13, hour=13, minute=0))"
